term,coef,p_value,or,ci_lower,ci_upper
const,-1.9254303228366636,0.07449376781962647,0.14581299669127115,0.017574173027193715,1.2098111229011677
age,0.02383858211681371,0.15087340604886879,1.024124992459339,0.9913491444454998,1.057984471017518
hb_normal,0.756733976203126,0.017150616772853455,2.131303951472376,1.143903684266187,3.97101311591259
primary_tri_2,0.26360198079293273,0.5770286322806122,1.3016100273961315,0.5154269490209291,3.286961744309891
primary_tri_3,2.105911451374911,0.006786957641983893,8.214586794953076,1.7881773422037002,37.736433976206
